38,48,47
21,31,16
25,33,12
0,15,2
26,30,31
46,43,1
32,13,38
10,4,31
10,40,3
31,9,42
1,44,3
15,11,24
20,5,17
15,24,8
30,35,45
10,45,13
6,42,38
21,37,3
38,8,2
38,42,23
7,16,25
28,21,38
42,48,40
4,35,30
27,13,2
33,49,10
18,40,8
1,38,22
27,28,7
46,3,31
37,9,4
33,30,37
18,35,49
23,33,42
12,34,37
0,19,34
47,29,37
13,36,43
10,29,4
27,35,49
38,15,27
2,30,46
33,40,41
29,1,30
44,18,14
20,0,25
48,6,24
43,1,9
10,46,22
20,28,45
24,47,9
6,20,38
24,16,18
45,16,42
29,44,18
37,13,21
24,3,13
33,1,46
44,25,18
45,25,39
26,35,5
26,38,27
16,48,1
38,6,23
24,44,21
33,13,14
43,17,31
20,28,15
11,41,12
7,47,14
37,38,21
12,26,43
19,49,32
23,15,38
41,34,30
9,31,25
21,37,35
3,36,2
47,3,1
22,34,17
36,32,10
32,7,12
37,24,3
30,7,41
35,32,3
30,28,4
21,31,26
19,44,39
20,33,44
27,43,41
0,42,45
9,36,19
19,16,39
14,35,12
8,0,34
46,29,7
33,16,7
29,49,31
34,22,41
48,2,1
